Model,Metric,Median,95% CI Lower,95% CI Upper
LogisticRegression,MCC,0.9404499623701952,0.937991108087845,0.9559686547893308
LogisticRegression,Balanced Accuracy,0.9691435453710984,0.9652806652806654,0.9714574898785425
LogisticRegression,F1,0.9699507389162562,0.9684466233289337,0.9774900064657381
LogisticRegression,F2,0.9698598344886555,0.9663410242731395,0.9739546361085758
LogisticRegression,Recall,0.9691435453710984,0.9652806652806654,0.9714574898785425
LogisticRegression,Precision,0.9765095952056424,0.9715277777777778,0.9790311076670041
LogisticRegression,Specificity,0.9929577464788732,0.984375,1.0
LogisticRegression,NPV,0.9685019841269842,0.9666666666666667,0.9714285714285714
LogisticRegression,AUC,0.9957387139384053,0.9945364341102755,0.9976350019708318
LogisticRegression,PR-AUC,0.9945647768535635,0.9920634920634921,0.997036686497206
GaussianNB,MCC,0.8585046904974797,0.83546496300112,0.8693163527975136
GaussianNB,Balanced Accuracy,0.9241619589330857,0.9128636507073271,0.9408781982942431
GaussianNB,F1,0.928159688533106,0.9169098843378608,0.9342118152621315
GaussianNB,F2,0.9259728620666589,0.9141394329370878,0.9380877809428364
GaussianNB,Recall,0.9241619589330857,0.9128636507073271,0.9408781982942431
GaussianNB,Precision,0.9314907109427657,0.9210199004975124,0.9385050023105028
GaussianNB,Specificity,0.9538461538461539,0.9411637464849665,0.9682459677419355
GaussianNB,NPV,0.9384615384615385,0.9354838709677419,0.9500201612903225
GaussianNB,AUC,0.9874058905222559,0.984270190987504,0.9888892516651431
GaussianNB,PR-AUC,0.9812243057238055,0.9769675637704668,0.9841263784831984
LDA,MCC,0.9011250007189475,0.8853903568009334,0.9146915551007703
LDA,Balanced Accuracy,0.9390243902439024,0.9308276689324271,0.9478966953223247
LDA,F1,0.948253526475487,0.9392210857592447,0.9561927756177098
LDA,F2,0.9419994879672299,0.9335108083227495,0.9500073130999955
LDA,Recall,0.9390243902439024,0.9308276689324271,0.9478966953223247
LDA,Precision,0.9632352941176471,0.9583333333333333,0.9685019841269842
LDA,Specificity,1.0,1.0,1.0
LDA,NPV,0.9323830409356726,0.9242424242424242,0.9444337256415203
LDA,AUC,0.9935373801147905,0.9906372390408377,0.995201919232307
LDA,PR-AUC,0.9912683993617456,0.9888746926759835,0.9927988625504063
SVM,MCC,0.9374694791470835,0.9220658072947296,0.9466775951900822
SVM,Balanced Accuracy,0.9666789751467171,0.9606797497550987,0.970959595959596
SVM,F1,0.968629037609022,0.96025702174181,0.9732895293036947
SVM,F2,0.9675255426239137,0.9607170099160947,0.9718294282404034
SVM,Recall,0.9666789751467171,0.9606797497550987,0.970959595959596
SVM,Precision,0.9712617882848147,0.9645018583451419,0.9741005610274551
SVM,Specificity,0.9837387625594923,0.9830508474576272,0.9848484848484849
SVM,NPV,0.9699231117141565,0.967741935483871,0.9830508474576272
SVM,AUC,0.9945930988760321,0.9930336451278075,0.9958665385512409
SVM,PR-AUC,0.992981419449881,0.9897929793405085,0.9943536713856554
RandomForest,MCC,0.90981847858957,0.8973651744117505,0.9190476962216113
RandomForest,Balanced Accuracy,0.9503036437246963,0.945734864016503,0.9596594215139741
RandomForest,F1,0.9546654929577465,0.948582514798425,0.9588709677419355
RandomForest,F2,0.9502818478380138,0.9474024207806337,0.9596728076462799
RandomForest,Recall,0.9503036437246963,0.945734864016503,0.9596594215139741
RandomForest,Precision,0.9536896543736101,0.9490867579908675,0.9635606255723443
RandomForest,Specificity,0.9696900114810563,0.9672131147540983,0.9843405921213604
RandomForest,NPV,0.9545350172215844,0.9516129032258065,0.9679815573770492
RandomForest,AUC,0.9895636649203048,0.9859275053304905,0.9933604102103709
RandomForest,PR-AUC,0.9876325028926703,0.9818433258518094,0.989869647639918
LightGBM,MCC,0.9176515480811065,0.90044793068982,0.9325085927489014
LightGBM,Balanced Accuracy,0.9558823529411764,0.9467836257309941,0.9627241821048482
LightGBM,F1,0.9586099664224663,0.9498968464485706,0.9661317100166021
LightGBM,F2,0.9565414211974738,0.9487392514895256,0.9620533953126525
LightGBM,Recall,0.9558823529411764,0.9467836257309941,0.9627241821048482
LightGBM,Precision,0.9584096459096458,0.9559360730593607,0.9678621031746031
LightGBM,Specificity,0.9831920903954803,0.9701492537313433,0.9846153846153847
LightGBM,NPV,0.9571078431372549,0.9516129032258065,0.9682539682539683
LightGBM,AUC,0.9937721812721813,0.9901918976545842,0.9948253766954389
LightGBM,PR-AUC,0.9905265131587822,0.9890496465686183,0.9928697792533305
